FUNCTION,PARAM,CONDITION_NUM,OPTIMIZER_TYPE,STEP_FUNCTION_TYPE,GRADIENT_TYPE,STEP_SIZE
LOG,0.1,1.0,NORMALIZE,EMPIRICAL,INV_SQ_ROOT,0.1401
LOG,0.1,1.0,NONNORMALIZE,EMPIRICAL,INV_SQ_ROOT,2.9352
LOG,0.1,1.0,ADAGRAD,EMPIRICAL,INV_SQ_ROOT,4.0889
LOG,0.1,1.0,NORMALIZE,EMPIRICAL,LOG,0.1130
LOG,0.1,1.0,NONNORMALIZE,EMPIRICAL,LOG,2.4228
LOG,0.1,1.0,ADAGRAD,EMPIRICAL,LOG,3.4341
LOG,0.1,1.0,NORMALIZE,EMPIRICAL,GEOMETRIC,0.1934
LOG,0.1,1.0,NONNORMALIZE,EMPIRICAL,GEOMETRIC,4.7882
LOG,0.1,1.0,ADAGRAD,EMPIRICAL,GEOMETRIC,5.0798
LOG,0.1,1.0,NORMALIZE,EMPIRICAL,CONSTANT,0.0311
LOG,0.1,1.0,NONNORMALIZE,EMPIRICAL,CONSTANT,0.6224
LOG,0.1,1.0,ADAGRAD,EMPIRICAL,CONSTANT,1.2481
QUADRATIC,2.0,1.0,NORMALIZE,EMPIRICAL,INV_SQ_ROOT,0.1401
QUADRATIC,2.0,1.0,NONNORMALIZE,EMPIRICAL,INV_SQ_ROOT,0.7888
QUADRATIC,2.0,1.0,ADAGRAD,EMPIRICAL,INV_SQ_ROOT,13.0576
QUADRATIC,2.0,1.0,NORMALIZE,EMPIRICAL,LOG,0.1130
QUADRATIC,2.0,1.0,NONNORMALIZE,EMPIRICAL,LOG,0.6055
QUADRATIC,2.0,1.0,ADAGRAD,EMPIRICAL,LOG,9.5383
QUADRATIC,2.0,1.0,NORMALIZE,EMPIRICAL,GEOMETRIC,0.2130
QUADRATIC,2.0,1.0,NONNORMALIZE,EMPIRICAL,GEOMETRIC,1.0832
QUADRATIC,2.0,1.0,ADAGRAD,EMPIRICAL,GEOMETRIC,7.9053
QUADRATIC,2.0,1.0,NORMALIZE,EMPIRICAL,CONSTANT,0.0311
QUADRATIC,2.0,1.0,NONNORMALIZE,EMPIRICAL,CONSTANT,0.1316
QUADRATIC,2.0,1.0,ADAGRAD,EMPIRICAL,CONSTANT,6.0937
LOG,0.0001,5.0,NORMALIZE,EMPIRICAL,INV_SQ_ROOT,0.1993
LOG,0.0001,5.0,NONNORMALIZE,EMPIRICAL,INV_SQ_ROOT,2.6704
LOG,0.0001,5.0,ADAGRAD,EMPIRICAL,INV_SQ_ROOT,5.2524
LOG,0.0001,5.0,NORMALIZE,EMPIRICAL,LOG,0.1645
LOG,0.0001,5.0,NONNORMALIZE,EMPIRICAL,LOG,2.0276
LOG,0.0001,5.0,ADAGRAD,EMPIRICAL,LOG,4.2278
LOG,0.0001,5.0,NORMALIZE,EMPIRICAL,GEOMETRIC,0.3543
LOG,0.0001,5.0,NONNORMALIZE,EMPIRICAL,GEOMETRIC,3.5591
LOG,0.0001,5.0,ADAGRAD,EMPIRICAL,GEOMETRIC,8.3296
LOG,0.0001,5.0,NORMALIZE,EMPIRICAL,CONSTANT,0.0488
